iter	Logloss
0	0.6758881723
1	0.6587370422
2	0.6431455019
3	0.628360131
4	0.6135984716
5	0.5995425156
6	0.586263838
7	0.5741208277
8	0.5624066318
9	0.5519354884
10	0.5411664112
11	0.5308294895
12	0.5213994835
13	0.5120805433
14	0.5036064585
15	0.4951564116
16	0.4873552463
17	0.4795394898
18	0.472440003
19	0.465791518
20	0.4594812313
21	0.4536101088
22	0.4480027024
23	0.4424961048
24	0.4369129567
25	0.4318888342
26	0.4274836718
27	0.4233353437
28	0.4192320929
29	0.4152942013
30	0.4115599019
31	0.4076133089
32	0.4042478465
33	0.4011698561
34	0.3972687218
35	0.3941111318
36	0.3910816967
37	0.3883180616
38	0.3859339166
39	0.3835770532
40	0.3810794393
41	0.3785391589
42	0.376375228
43	0.3742135765
44	0.3721078901
45	0.3701636244
46	0.3681708424
47	0.3660726677
48	0.3640111433
49	0.3621112785
50	0.3604906206
51	0.3590170144
52	0.3575405622
53	0.3560807011
54	0.3547898002
55	0.3535765288
56	0.3521217741
57	0.3508091836
58	0.3491206372
59	0.3480298467
60	0.3468616258
61	0.3458571206
62	0.3447269791
63	0.3437401101
64	0.3427226452
65	0.341808811
66	0.3409269841
67	0.3400593365
68	0.3390710155
69	0.3379775449
70	0.336957009
71	0.3361689961
72	0.3353516131
73	0.3346172813
74	0.3338353961
75	0.3331114029
76	0.3324825832
77	0.3318059101
78	0.3309813143
79	0.3304119113
80	0.3297387786
81	0.3292727373
82	0.3285794558
83	0.3280821763
84	0.3275510517
85	0.3270696637
86	0.3265491707
87	0.3260309422
88	0.3255465457
89	0.3251402573
90	0.3247596278
91	0.3242818807
92	0.3238888513
93	0.3235078324
94	0.3230873962
95	0.3226041431
96	0.3222864584
97	0.3219638496
98	0.3216260832
99	0.3212554342
100	0.3208511779
101	0.3205516693
102	0.3202900796
103	0.3198945687
104	0.3195601983
105	0.3192875158
106	0.3189665012
107	0.3186416498
108	0.3184005112
109	0.3180358853
110	0.31774752
111	0.3174380861
112	0.3171999803
113	0.3169092952
114	0.3167171744
115	0.3165260379
116	0.3162121285
117	0.3159563354
118	0.3157749696
119	0.3155431402
120	0.3153240806
121	0.3151132641
122	0.3149220776
123	0.3147598345
124	0.3145273935
125	0.314241211
126	0.3140346491
127	0.3138238622
128	0.3136567586
129	0.3135015353
130	0.3133349347
131	0.3132056414
132	0.3130610888
133	0.312917097
134	0.3127637473
135	0.3126182814
136	0.3124478886
137	0.3123075555
138	0.3121450597
139	0.3120085887
140	0.3118086692
141	0.3116681839
142	0.3115817843
143	0.3114130767
144	0.311246751
145	0.3110986583
146	0.3109673436
147	0.3108500094
148	0.3106823501
149	0.3105778906
150	0.3104643314
151	0.3102854388
152	0.3101808171
153	0.3100243967
154	0.3098623344
155	0.3097777795
156	0.3096153941
157	0.3094841384
158	0.3093616259
159	0.3092643806
160	0.3091540055
161	0.3090371519
162	0.3089249743
163	0.3088287901
164	0.3087265274
165	0.3086025755
166	0.3085054081
167	0.3084202896
