iter	Logloss
0	0.6858388083
1	0.6795118604
2	0.673853411
3	0.6686673846
4	0.662109048
5	0.656099265
6	0.6495399475
7	0.6435798645
8	0.638445282
9	0.6333595276
10	0.6279296875
11	0.6219664437
12	0.6167240688
13	0.6111291068
14	0.6040121351
15	0.5991014208
16	0.5933309283
17	0.5884529114
18	0.5831318992
19	0.5778984615
20	0.572756849
21	0.5680177961
22	0.5633652278
23	0.5588630676
24	0.5540844509
25	0.5502231598
26	0.5462467194
27	0.5414711543
28	0.5374614171
29	0.5338465554
30	0.5295719147
31	0.5248229436
32	0.5208380563
33	0.5169331687
34	0.5124413627
35	0.5079222543
36	0.5035083226
37	0.4984892709
38	0.4939289093
39	0.4902272361
40	0.4861196245
41	0.4820308685
42	0.4780319759
43	0.4738458906
44	0.4701946259
45	0.4664786203
46	0.4625116621
47	0.4585948399
48	0.4552213941
49	0.4514297485
50	0.4482218606
51	0.4446330479
52	0.4413189207
53	0.4380434854
54	0.4345030103
55	0.4311264038
56	0.4263911383
57	0.4231740679
58	0.4194008146
59	0.4163394383
60	0.4126960754
61	0.4094240734
62	0.405809239
63	0.4020464216
64	0.3989748546
65	0.396239199
66	0.3934306281
67	0.3907925197
68	0.3878488268
69	0.3845782416
70	0.381691524
71	0.3790127345
72	0.3751979283
73	0.3726982117
74	0.369670323
75	0.3663415091
76	0.3635507856
77	0.3609630857
78	0.3580621447
79	0.3557891301
80	0.3521967752
81	0.3493248531
82	0.3466674532
83	0.3440518515
84	0.3407285145
85	0.3378541401
86	0.3350582123
87	0.3329041617
88	0.3307037354
89	0.3286745616
90	0.3264095579
91	0.3243774414
92	0.3221554347
93	0.3204102652
94	0.3181338174
95	0.3159758704
96	0.3140349524
97	0.3120703016
98	0.3098456247
99	0.3077110835
100	0.305169923
101	0.3033880506
102	0.301522146
103	0.2990953718
104	0.297246824
105	0.2949067797
106	0.2929721287
107	0.2913069044
108	0.2897419793
109	0.2872773852
110	0.2853613172
111	0.283039856
112	0.2815160479
113	0.2796603612
114	0.2780362538
115	0.2758393696
116	0.2741824286
117	0.2722106116
118	0.2708178111
119	0.269102587
120	0.2674055917
121	0.2659230368
122	0.2640207563
123	0.2624176298
124	0.2605572564
125	0.2589691707
126	0.2578269414
127	0.2562892914
128	0.2548927307
129	0.2529455457
130	0.2515019553
131	0.2499062674
132	0.2486667633
133	0.2471846444
134	0.2457608632
135	0.2446890695
136	0.2428598131
137	0.2415148326
138	0.2402529308
139	0.238986315
140	0.2376905714
141	0.2360416685
142	0.234538269
143	0.2333754948
144	0.2321812766
145	0.2306198665
146	0.2294919423
147	0.2278862953
148	0.2264851434
149	0.2252737863
150	0.2240731784
151	0.2226435798
152	0.2212582179
153	0.2201449803
154	0.218813215
155	0.2173576219
156	0.2157308306
157	0.214455986
158	0.213010679
159	0.2114411218
160	0.2105288914
161	0.2096420833
162	0.2084967205
163	0.2072602545
164	0.2064617702
165	0.2054015023
166	0.2041213444
167	0.2030323029
168	0.2016897746
169	0.2004406793
170	0.199429185
171	0.1981811796
172	0.1968738011
