STD_YM,BLCK_SP_CD,CTPV_CD,CTPV_NM,CAT01_CD,OPN_CNT,CLSD_CNT,NEW_CNT,MANAGE01_CNT,MANAGE02_CNT,MANAGE03_CNT,MANAGE04_CNT
202411,1,11,서울특별시,U,70,0,0,0,4,10,56
202411,1,26,부산광역시,A,606,1,2,6,54,72,474
202411,1,26,부산광역시,C,26930,83,30,199,1702,2041,22988
202411,1,26,부산광역시,K,1582,9,2,24,75,137,1346
202411,1,26,부산광역시,O,437,0,0,1,13,20,403
202411,1,27,대구광역시,H,11418,44,12,88,861,1121,9348
202411,1,27,대구광역시,J,2352,13,36,176,504,272,1400
202411,1,27,대구광역시,L,21718,54,21,132,1120,2948,17518
202411,1,27,대구광역시,N,3753,10,14,68,331,379,2975
202411,1,28,인천광역시,H,14075,55,9,104,1153,1474,11344
202411,1,28,인천광역시,T,162,0,0,0,4,22,136
202411,1,29,광주광역시,B,29,0,0,2,3,1,23
202411,1,29,광주광역시,E,182,2,0,2,12,25,143
202411,1,29,광주광역시,F,7602,20,4,43,659,1083,5817
202411,1,29,광주광역시,J,1338,9,21,93,267,176,802
202411,1,29,광주광역시,T,32,0,0,0,4,7,21
202411,1,30,대전광역시,L,12570,23,16,114,784,1978,9694
202411,1,31,울산광역시,M,2923,11,20,93,432,340,2058
202411,1,31,울산광역시,O,184,0,0,1,7,15,161
202411,1,31,울산광역시,P,4873,34,27,189,1111,761,2812
202411,1,31,울산광역시,Q,2169,5,6,18,137,143,1871
202411,1,31,울산광역시,U,0,0,0,0,0,0,0
202411,1,36,세종특별자치시,P,2346,19,19,155,770,474,947
202411,1,41,경기도,E,2388,5,1,11,170,286,1921
202411,1,41,경기도,O,1207,2,1,7,39,65,1096
202411,1,41,경기도,S,100288,627,839,5046,24549,14950,55743
202411,1,43,충청북도,B,96,0,0,1,7,9,79
202411,1,43,충청북도,Q,3354,3,6,36,173,260,2885
202411,1,43,충청북도,S,14094,62,101,568,2821,1847,8858
202411,1,43,충청북도,U,0,0,0,0,0,0,0
202411,1,44,충청남도,D,3087,8,4,36,423,1371,1257
202411,1,44,충청남도,L,13559,29,22,133,1110,2083,10233
202411,1,44,충청남도,M,4975,14,18,176,850,617,3332
202411,1,44,충청남도,N,4080,17,19,102,446,514,3018
202411,1,46,전라남도,D,3786,4,5,56,540,1432,1758
202411,1,46,전라남도,E,440,0,0,1,33,51,355
202411,1,46,전라남도,L,8727,19,8,77,721,1770,6159
202411,1,46,전라남도,S,15042,70,79,505,2975,2004,9558
202411,1,47,경상북도,H,12026,38,13,82,1010,1498,9436
202411,1,47,경상북도,J,1735,17,47,225,509,184,817
202411,1,48,경상남도,I,60845,730,722,4015,17219,8693,30918
202411,1,48,경상남도,S,28153,132,182,1078,5775,3914,17386
202411,1,50,제주특별자치도,T,11,0,0,0,0,0,11
202411,1,51,강원특별자치도,B,143,1,0,0,7,7,129
202411,1,51,강원특별자치도,J,1352,10,24,156,444,177,575
202411,1,52,전북특별자치도,R,3987,35,43,218,1095,639,2035
202411,1,11,서울특별시,D,1595,3,1,4,130,333,1128
202411,1,11,서울특별시,K,15560,173,16,88,2072,2886,10514
202411,1,11,서울특별시,L,154945,319,102,698,6867,18607,128773
202411,1,11,서울특별시,T,556,2,0,0,27,56,473
202411,1,26,부산광역시,B,63,0,0,0,3,4,56
202411,1,26,부산광역시,D,363,0,0,2,73,72,216
202411,1,27,대구광역시,D,893,1,0,22,157,222,492
202411,1,27,대구광역시,E,359,0,0,1,28,35,295
202411,1,28,인천광역시,K,886,5,3,20,67,92,707
202411,1,30,대전광역시,B,13,0,0,0,0,3,10
202411,1,30,대전광역시,C,7843,20,15,68,509,724,6542
202411,1,30,대전광역시,F,6786,10,4,42,614,814,5316
202411,1,30,대전광역시,K,677,3,3,17,39,60,561
202411,1,30,대전광역시,P,5889,31,51,220,1319,863,3487
202411,1,30,대전광역시,T,27,0,0,0,3,1,23
202411,1,31,울산광역시,C,6640,22,12,57,637,640,5306
202411,1,31,울산광역시,F,4674,9,8,34,418,474,3748
202411,1,31,울산광역시,K,452,2,1,6,20,39,387
202411,1,31,울산광역시,R,2525,27,27,158,670,384,1313
202411,1,36,세종특별자치시,E,48,0,0,0,0,6,42
202411,1,36,세종특별자치시,O,73,0,0,0,12,12,49
202411,1,36,세종특별자치시,Q,565,3,1,7,64,71,423
202411,1,36,세종특별자치시,R,724,7,11,61,252,145,266
202411,1,41,경기도,R,29051,304,366,2125,9363,4671,12892
202411,1,43,충청북도,D,2175,2,1,25,268,1050,832
202411,1,43,충청북도,T,20,0,0,0,1,0,19
202411,1,44,충청남도,G,51329,272,256,1701,9186,6669,33773
202411,1,44,충청남도,O,459,1,2,3,22,17,417
202411,1,44,충청남도,P,6984,36,40,231,1700,1013,4040
202411,1,44,충청남도,T,30,0,0,0,3,2,25
202411,1,46,전라남도,B,120,0,0,1,5,14,100
202411,1,46,전라남도,H,9290,23,9,57,813,1096,7324
202411,1,46,전라남도,J,1143,8,19,128,352,134,529
202411,1,47,경상북도,O,608,0,0,1,11,31,565
202411,1,47,경상북도,P,9258,47,39,289,1751,1228,5990
202411,1,47,경상북도,Q,4879,9,7,51,269,337,4222
202411,1,47,경상북도,R,5603,46,45,249,1466,813,3075
202411,1,48,경상남도,B,126,0,0,0,6,18,102
202411,1,48,경상남도,E,723,2,0,2,54,86,581
202411,1,48,경상남도,G,74462,449,364,2389,12511,9465,50097
202411,1,48,경상남도,H,12724,56,22,120,1209,1533,9862
202411,1,48,경상남도,O,893,0,0,2,36,35,820
202411,1,48,경상남도,R,6475,52,54,342,1800,1023,3310
202411,1,50,제주특별자치도,G,20822,118,121,766,3991,2886,13179
202411,1,51,강원특별자치도,A,2410,5,0,12,190,324,1884
202411,1,51,강원특별자치도,L,9853,22,12,91,796,1363,7603
202411,1,51,강원특별자치도,U,0,0,0,0,0,0,0
202411,1,52,전북특별자치도,F,11890,20,8,55,863,1369,9603
202411,1,52,전북특별자치도,K,832,8,5,20,60,64,688
202411,1,52,전북특별자치도,L,10796,17,12,84,800,1707,8205
202411,1,52,전북특별자치도,Q,4523,8,6,43,224,264,3992
202411,1,52,전북특별자치도,U,2,0,0,0,0,0,2
202411,1,11,서울특별시,E,615,1,0,1,31,59,524
202411,1,11,서울특별시,Q,24647,52,75,460,2053,2147,19987
202411,1,26,부산광역시,P,13090,82,69,489,3098,2045,7458
202411,1,27,대구광역시,B,47,0,0,1,3,4,39
202411,1,27,대구광역시,S,19629,83,131,800,4048,2719,12062
202411,1,27,대구광역시,T,43,1,0,1,1,6,35
202411,1,28,인천광역시,I,37814,574,522,3039,12415,5567,16793
202411,1,28,인천광역시,J,3083,20,52,271,677,494,1641
202411,1,28,인천광역시,L,32329,69,24,188,2109,5957,24075
202411,1,28,인천광역시,Q,5556,8,15,75,495,434,4552
202411,1,28,인천광역시,R,6652,95,89,514,2137,1017,2984
202411,1,28,인천광역시,S,22540,127,178,1161,5533,3338,12508
202411,1,29,광주광역시,H,6655,26,10,65,633,822,5135
202411,1,29,광주광역시,I,21068,310,286,1662,7016,3091,9299
202411,1,29,광주광역시,L,12115,22,18,96,839,2188,8992
202411,1,29,광주광역시,M,4852,7,21,128,745,691,3288
202411,1,29,광주광역시,U,1,0,0,0,0,0,1
202411,1,30,대전광역시,E,159,0,1,1,11,18,129
202411,1,30,대전광역시,G,36937,219,188,1191,5973,4799,24974
202411,1,30,대전광역시,I,21899,301,263,1545,6702,3075,10577
202411,1,30,대전광역시,Q,3733,9,6,45,245,269,3174
202411,1,31,울산광역시,B,26,0,0,0,2,1,23
202411,1,31,울산광역시,L,8191,20,4,50,517,1177,6447
202411,1,31,울산광역시,T,17,1,0,0,2,2,13
202411,1,41,경기도,Q,24337,55,61,369,2153,1975,19840
202411,1,43,충청북도,H,7122,23,14,59,670,952,5441
202411,1,44,충청남도,C,15737,37,14,104,1182,1688,12763
202411,1,44,충청남도,J,1628,11,35,208,519,205,696
202411,1,46,전라남도,F,12748,24,4,43,878,1496,10331
202411,1,46,전라남도,P,5431,19,23,133,1034,692,3572
202411,1,46,전라남도,T,16,0,0,0,0,2,14
202411,1,48,경상남도,C,33037,119,41,305,2629,2998,27105
202411,1,48,경상남도,D,2045,2,8,39,375,741,890
202411,1,48,경상남도,Q,6195,10,8,63,333,474,5325
202411,1,50,제주특별자치도,E,105,0,0,1,12,12,80
202411,1,50,제주특별자치도,F,5949,10,3,41,480,704,4724
202411,1,51,강원특별자치도,C,6214,22,10,52,485,603,5074
202411,1,51,강원특별자치도,F,12284,18,2,54,910,1419,9901
202411,1,51,강원특별자치도,I,38807,428,418,2316,10044,5259,21188
202411,1,51,강원특별자치도,R,4097,27,32,199,1050,608,2240
202411,1,52,전북특별자치도,E,362,0,0,3,24,34,301
202411,1,52,전북특별자치도,J,1325,11,22,133,368,162,662
202411,1,52,전북특별자치도,T,23,0,0,0,3,5,15
202411,1,11,서울특별시,C,53762,172,40,298,2836,4496,46132
202411,1,11,서울특별시,N,25583,86,51,302,2040,2152,21089
202411,1,26,부산광역시,H,28901,141,64,393,3595,2629,22284
202411,1,26,부산광역시,T,55,1,0,0,4,6,45
202411,1,26,부산광역시,U,6,0,0,0,2,0,4
202411,1,27,대구광역시,K,1050,8,1,9,82,92,867
202411,1,27,대구광역시,P,11131,58,75,408,2597,1733,6393
202411,1,28,인천광역시,B,48,0,0,0,4,6,38
202411,1,28,인천광역시,N,4690,22,13,101,544,584,3461
202411,1,29,광주광역시,Q,3543,10,9,47,273,227,2996
202411,1,29,광주광역시,R,3524,44,31,223,1063,578,1660
202411,1,30,대전광역시,J,2296,15,32,135,401,343,1417
202411,1,30,대전광역시,R,3614,29,28,208,1070,535,1801
202411,1,30,대전광역시,S,13574,78,94,607,2905,1859,8203
202411,1,31,울산광역시,E,179,0,0,0,18,22,139
202411,1,31,울산광역시,S,9289,46,53,389,2014,1261,5625
202411,1,36,세종특별자치시,C,1199,4,2,10,112,151,926
202411,1,36,세종특별자치시,L,5878,8,8,23,219,893,4743
202411,1,41,경기도,B,285,0,1,2,19,34,230
202411,1,41,경기도,F,52522,173,53,376,6377,8399,37370
202411,1,41,경기도,H,48534,202,82,504,5354,6462,36214
202411,1,43,충청북도,A,1237,6,0,11,113,183,930
202411,1,43,충청북도,J,1271,11,32,183,435,117,536
202411,1,43,충청북도,P,5409,30,32,192,1154,822,3241
202411,1,44,충청남도,E,461,0,1,2,35,51,373
202411,1,44,충청남도,H,8989,31,6,74,804,1092,7019
202411,1,44,충청남도,K,726,1,0,5,61,53,607
202411,1,46,전라남도,G,45463,203,214,1442,7733,5785,30503
202411,1,46,전라남도,K,698,7,3,16,41,65,576
202411,1,46,전라남도,M,3881,11,24,115,604,512,2650
202411,1,46,전라남도,O,645,0,0,5,49,22,569
202411,1,46,전라남도,R,3546,24,34,195,1020,526,1805
202411,1,47,경상북도,E,737,4,0,3,36,74,624
202411,1,47,경상북도,L,12020,28,15,138,886,1583,9413
202411,1,47,경상북도,S,21453,88,124,791,3858,2967,13837
202411,1,47,경상북도,U,0,0,0,0,0,0,0
202411,1,48,경상남도,K,1201,3,3,20,82,117,982
202411,1,48,경상남도,L,20237,33,33,184,1280,2688,16085
202411,1,48,경상남도,T,38,0,0,1,4,4,29
202411,1,51,강원특별자치도,E,365,2,1,3,22,43,297
202411,1,51,강원특별자치도,S,14763,64,92,579,2868,1804,9512
202411,1,52,전북특별자치도,G,45796,240,234,1557,7990,5635,30614
202411,1,11,서울특별시,B,151,0,0,0,5,11,135
202411,1,11,서울특별시,H,34464,135,43,273,2744,3457,27990
202411,1,11,서울특별시,O,727,1,0,6,44,52,625
202411,1,26,부산광역시,I,50451,647,546,3324,14829,7720,24578
202411,1,26,부산광역시,R,6543,47,53,391,1845,1037,3270
202411,1,26,부산광역시,S,25516,150,187,1087,5515,3541,15373
202411,1,27,대구광역시,G,65654,323,302,1687,9118,7528,47321
202411,1,27,대구광역시,O,259,0,0,0,6,12,241
202411,1,28,인천광역시,C,23548,83,19,145,1260,1946,20197
202411,1,28,인천광역시,E,513,2,0,3,35,70,405
202411,1,28,인천광역시,G,62768,409,363,2247,11686,8930,39905
202411,1,28,인천광역시,U,1,0,0,0,0,0,1
202411,1,29,광주광역시,G,36377,231,214,1219,6052,4545,24561
202411,1,29,광주광역시,O,225,0,0,0,5,8,212
202411,1,29,광주광역시,P,6821,43,47,268,1440,931,4182
202411,1,29,광주광역시,S,13871,73,97,575,3021,2025,8250
202411,1,30,대전광역시,A,198,1,1,8,31,32,127
202411,1,30,대전광역시,M,5042,25,17,131,719,662,3530
202411,1,30,대전광역시,U,0,0,0,0,0,0,0
202411,1,31,울산광역시,J,772,6,16,102,225,78,367
202411,1,41,경기도,J,22380,135,225,1301,4397,4317,12365
202411,1,41,경기도,K,4114,13,10,65,304,514,3231
202411,1,43,충청북도,C,12257,19,16,100,896,1242,10019
202411,1,43,충청북도,L,9494,20,22,96,794,1413,7191
202411,1,43,충청북도,N,2953,6,12,66,353,333,2201
202411,1,44,충청남도,F,13888,28,7,62,1176,1586,11064
202411,1,44,충청남도,I,38281,425,428,2659,11206,5451,18965
202411,1,44,충청남도,Q,4189,15,6,45,257,266,3621
202411,1,46,전라남도,C,9764,22,10,79,813,983,7889
202411,1,46,전라남도,N,3263,7,5,73,346,413,2431
202411,1,47,경상북도,K,896,2,3,20,57,65,754
202411,1,47,경상북도,T,27,0,0,0,2,4,21
202411,1,48,경상남도,J,2071,13,53,272,630,245,924
202411,1,48,경상남도,U,2,0,0,0,0,0,2
202411,1,50,제주특별자치도,D,358,1,0,3,16,112,227
202411,1,50,제주특별자치도,M,2566,6,7,83,448,394,1641
202411,1,50,제주특별자치도,Q,1504,2,6,11,97,89,1307
202411,1,50,제주특별자치도,R,2160,17,22,122,580,389,1069
202411,1,50,제주특별자치도,U,1,0,0,0,0,0,1
202411,1,51,강원특별자치도,G,39742,206,203,1388,7005,4979,26370
202411,1,51,강원특별자치도,H,5463,24,4,47,399,669,4348
202411,1,51,강원특별자치도,O,415,0,0,3,9,15,388
202411,1,51,강원특별자치도,T,14,0,0,1,3,1,9
202411,1,52,전북특별자치도,B,76,0,0,0,4,6,66
202411,1,52,전북특별자치도,N,2988,8,9,63,335,311,2279
202411,1,52,전북특별자치도,P,7027,45,24,171,1333,910,4613
202411,1,11,서울특별시,G,271536,1361,1108,6607,34994,32555,197380
