STD_YM,BLCK_SP_CD,CTPV_CD,CTPV_NM,CAT01_CD,OPN_CNT,CLSD_CNT,NEW_CNT,MANAGE01_CNT,MANAGE02_CNT,MANAGE03_CNT,MANAGE04_CNT
202409,1,11,서울특별시,A,711,5,3,20,89,107,495
202409,1,11,서울특별시,Q,24649,63,80,506,1976,2227,19940
202409,1,26,부산광역시,M,10964,34,30,348,1529,1546,7541
202409,1,27,대구광역시,B,47,0,0,2,2,6,37
202409,1,27,대구광역시,M,7256,22,14,175,813,915,5353
202409,1,28,인천광역시,E,519,1,1,4,37,76,402
202409,1,28,인천광역시,G,63013,368,334,2481,11533,9421,39578
202409,1,28,인천광역시,Q,5547,19,12,98,477,473,4499
202409,1,28,인천광역시,R,6660,76,93,580,2099,1043,2938
202409,1,29,광주광역시,C,8216,17,3,48,627,864,6677
202409,1,29,광주광역시,J,1331,8,16,94,271,187,779
202409,1,29,광주광역시,O,225,0,0,0,5,8,212
202409,1,30,대전광역시,P,5877,28,29,225,1281,916,3455
202409,1,30,대전광역시,S,13529,60,91,738,2745,1902,8144
202409,1,31,울산광역시,B,26,0,0,0,2,1,23
202409,1,31,울산광역시,D,182,0,0,4,25,53,100
202409,1,31,울산광역시,H,4542,19,8,42,381,561,3558
202409,1,36,세종특별자치시,A,157,0,0,2,23,30,102
202409,1,36,세종특별자치시,F,1251,4,3,10,113,160,968
202409,1,36,세종특별자치시,N,422,2,1,12,62,81,267
202409,1,36,세종특별자치시,U,0,0,0,0,0,0,0
202409,1,41,경기도,B,289,0,1,1,24,33,231
202409,1,41,경기도,E,2388,3,3,17,170,308,1893
202409,1,41,경기도,H,48877,186,74,559,5551,6803,35964
202409,1,41,경기도,J,22379,107,223,1311,4413,4666,11989
202409,1,41,경기도,M,42343,153,147,1451,6433,7564,26895
202409,1,44,충청남도,U,0,0,0,0,0,0,0
202409,1,46,전라남도,E,445,0,1,2,35,57,351
202409,1,46,전라남도,P,5439,26,22,170,997,722,3550
202409,1,46,전라남도,S,15005,66,72,629,2855,2040,9481
202409,1,47,경상북도,B,171,0,0,1,6,15,149
202409,1,47,경상북도,J,1713,16,45,236,478,188,811
202409,1,47,경상북도,K,896,2,6,19,54,71,752
202409,1,47,경상북도,S,21359,76,112,878,3769,3040,13672
202409,1,47,경상북도,T,27,0,0,0,2,5,20
202409,1,48,경상남도,R,6499,61,50,372,1785,1054,3288
202409,1,48,경상남도,U,2,0,0,0,0,0,2
202409,1,50,제주특별자치도,G,20866,120,110,852,3945,2977,13092
202409,1,52,전북특별자치도,R,4007,33,23,244,1087,653,2023
202409,1,11,서울특별시,G,272623,1323,951,7458,34457,34631,196077
202409,1,26,부산광역시,B,62,0,0,0,3,5,54
202409,1,26,부산광역시,G,85615,465,345,2653,12961,11105,58896
202409,1,26,부산광역시,H,29055,118,41,496,3561,2756,22242
