STD_YM,BLCK_SP_CD,CTPV_CD,CTPV_NM,CAT01_CD,OPN_CNT,CLSD_CNT,NEW_CNT,MANAGE01_CNT,MANAGE02_CNT,MANAGE03_CNT,MANAGE04_CNT
202303,1,11,서울특별시,B,172,0,0,1,16,22,133
202303,1,11,서울특별시,G,285779,1868,1359,7376,43526,45589,189288
202303,1,11,서울특별시,H,36690,182,57,419,4483,5243,26545
202303,1,11,서울특별시,N,26868,114,80,435,2517,4288,19628
202303,1,11,서울특별시,O,754,1,1,5,73,106,570
202303,1,26,부산광역시,C,28567,106,44,285,2531,3134,22617
202303,1,26,부산광역시,E,472,3,1,3,30,58,381
202303,1,26,부산광역시,G,89301,590,565,2971,15212,13528,57590
202303,1,26,부산광역시,O,458,0,0,2,19,82,355
202303,1,27,대구광역시,H,11806,64,19,118,1364,1538,8786
202303,1,27,대구광역시,M,7444,30,32,160,1068,1256,4960
202303,1,28,인천광역시,A,665,3,4,11,120,125,409
202303,1,28,인천광역시,J,3078,22,71,300,791,629,1358
202303,1,28,인천광역시,K,906,1,4,16,101,116,673
202303,1,28,인천광역시,P,9605,99,161,823,2082,2174,4526
202303,1,29,광주광역시,M,4995,17,31,152,861,943,3039
202303,1,29,광주광역시,S,13487,98,144,741,2987,2471,7288
202303,1,30,대전광역시,H,6614,28,17,99,933,1174,4408
202303,1,30,대전광역시,J,2275,12,31,178,487,400,1210
202303,1,30,대전광역시,N,2985,11,14,55,316,474,2140
202303,1,30,대전광역시,R,3587,50,52,276,927,756,1628
202303,1,31,울산광역시,P,4782,33,52,281,979,989,2533
202303,1,36,세종특별자치시,U,0,0,0,0,0,0,0
202303,1,41,경기도,M,43897,211,303,1376,8741,9227,24553
202303,1,42,강원도,M,4134,28,29,154,648,636,2696
202303,1,42,강원도,S,14184,88,143,662,2555,2492,8475
202303,1,43,충청북도,K,619,1,1,10,52,62,495
202303,1,43,충청북도,N,3149,17,15,61,452,579,2057
202303,1,43,충청북도,P,5319,32,78,308,1032,1115,2864
202303,1,44,충청남도,H,9439,36,22,115,1425,1504,6395
202303,1,45,전라북도,K,808,3,2,13,79,85,631
202303,1,45,전라북도,R,3897,43,55,307,1003,928,1659
202303,1,46,전라남도,B,130,2,0,0,21,15,94
202303,1,46,전라남도,C,9896,28,13,154,1295,1465,6982
