STD_YM,BLCK_SP_CD,CTPV_CD,CTPV_NM,CAT01_CD,OPN_CNT,CLSD_CNT,NEW_CNT,MANAGE01_CNT,MANAGE02_CNT,MANAGE03_CNT,MANAGE04_CNT
202211,1,11,서울특별시,F,38088,86,162,994,7260,5357,24477
202211,1,11,서울특별시,Q,25461,65,78,446,2807,3287,18921
202211,1,11,서울특별시,O,768,1,2,7,83,100,578
202211,1,11,서울특별시,L,158382,373,143,1506,21645,33435,101796
202211,1,11,서울특별시,P,38736,230,375,2017,8808,8498,19413
202211,1,11,서울특별시,M,69766,188,223,1481,12013,13378,42894
202211,1,11,서울특별시,U,73,0,0,0,10,18,45
202211,1,11,서울특별시,S,73237,377,565,3394,14348,13656,41839
202211,1,11,서울특별시,K,18313,126,93,814,5157,3059,9283
202211,1,11,서울특별시,A,740,4,1,23,120,145,452
202211,1,11,서울특별시,C,57390,161,73,555,5854,7594,43387
202211,1,11,서울특별시,N,27168,70,77,456,2777,4574,19361
202211,1,11,서울특별시,B,168,0,0,1,18,16,133
202211,1,11,서울특별시,R,25008,274,305,1855,6195,5560,11398
202211,1,11,서울특별시,D,1575,2,2,20,320,625,610
202211,1,11,서울특별시,G,290816,1452,1278,8121,47610,46766,188319
202211,1,11,서울특별시,T,891,4,2,9,142,140,600
202211,1,11,서울특별시,H,36905,141,81,620,4760,5415,26110
202211,1,11,서울특별시,E,666,1,2,5,75,76,510
202211,1,11,서울특별시,J,43925,92,267,1664,7431,8037,26793
202211,1,11,서울특별시,I,130828,1721,1766,10156,36502,24861,59309
202211,1,26,부산광역시,D,318,0,0,11,74,94,139
202211,1,26,부산광역시,O,457,0,1,4,24,100,329
202211,1,26,부산광역시,J,3151,12,60,333,631,566,1621
202211,1,26,부산광역시,E,465,2,1,4,40,53,368
202211,1,26,부산광역시,C,28710,76,42,315,2752,3283,22360
202211,1,26,부산광역시,M,11316,48,46,372,1964,2052,6928
202211,1,26,부산광역시,F,12615,32,28,212,1952,1962,8489
202211,1,26,부산광역시,A,627,1,0,9,93,114,411
202211,1,26,부산광역시,Q,7098,9,28,118,625,880,5475
202211,1,26,부산광역시,K,1571,8,6,22,163,179,1207
202211,1,26,부산광역시,R,6415,80,81,470,1703,1364,2878
202211,1,26,부산광역시,L,31507,75,32,357,5933,6431,18786
202211,1,26,부산광역시,U,3,0,0,0,1,1,1
202211,1,26,부산광역시,B,76,0,1,1,5,8,62
202211,1,26,부산광역시,S,26568,150,214,1206,5667,4547,15148
202211,1,26,부산광역시,T,75,2,0,0,10,15,50
202211,1,26,부산광역시,G,90343,558,511,3279,16228,13736,57100
202211,1,26,부산광역시,P,12664,78,111,623,2857,2845,6339
202211,1,26,부산광역시,N,6492,23,28,142,764,1124,4462
202211,1,26,부산광역시,H,29570,175,141,822,3469,3484,21795
202211,1,26,부산광역시,I,51704,769,816,4417,15083,9675,22529
202211,1,27,대구광역시,C,28082,64,39,272,2487,2949,22374
202211,1,27,대구광역시,F,11082,26,16,162,1715,1711,7494
202211,1,27,대구광역시,H,11981,46,21,149,1494,1610,8728
202211,1,27,대구광역시,B,58,1,0,1,5,6,46
202211,1,27,대구광역시,M,7782,15,32,193,1257,1356,4976
202211,1,27,대구광역시,T,66,0,0,0,15,7,44
202211,1,27,대구광역시,E,399,1,2,7,51,51,290
202211,1,27,대구광역시,D,666,0,2,4,197,211,254
202211,1,27,대구광역시,I,42042,490,571,3127,11615,8377,18923
202211,1,27,대구광역시,L,21597,47,28,214,3272,4176,13935
202211,1,27,대구광역시,S,20309,118,158,918,4228,3597,11566
202211,1,27,대구광역시,Q,5690,9,5,66,489,610,4525
202211,1,27,대구광역시,J,2358,9,46,223,462,423,1250
202211,1,27,대구광역시,O,251,0,1,3,13,56,179
202211,1,27,대구광역시,G,70915,358,353,2235,11996,11200,45484
202211,1,27,대구광역시,N,3992,13,15,74,483,726,2709
202211,1,27,대구광역시,A,275,1,1,5,59,75,136
202211,1,27,대구광역시,R,5932,68,63,384,1470,1309,2769
202211,1,27,대구광역시,P,11058,73,98,495,2522,2547,5494
202211,1,27,대구광역시,K,1042,1,1,20,117,130,775
202211,1,28,인천광역시,B,62,0,0,0,8,7,47
202211,1,28,인천광역시,E,564,2,1,6,72,105,381
202211,1,28,인천광역시,R,6470,86,114,627,1918,1442,2483
202211,1,28,인천광역시,M,8042,42,39,260,1577,1638,4567
202211,1,28,인천광역시,O,180,0,0,4,12,45,119
202211,1,28,인천광역시,J,3093,16,56,313,791,625,1364
202211,1,28,인천광역시,I,38074,581,684,3775,11679,7379,15241
202211,1,28,인천광역시,K,911,3,1,17,101,119,674
202211,1,28,인천광역시,T,282,0,1,1,47,47,187
202211,1,28,인천광역시,H,15398,63,31,251,2099,3835,9213
202211,1,28,인천광역시,C,25715,56,30,221,2512,3410,19572
202211,1,28,인천광역시,Q,5782,15,14,105,552,941,4184
202211,1,28,인천광역시,D,316,2,0,2,76,121,117
202211,1,28,인천광역시,G,65682,445,429,2808,13886,11409,37579
