STD_YM,BLCK_SP_CD,CTPV_CD,CTPV_NM,CAT01_CD,OPN_CNT,CLSD_CNT,NEW_CNT,MANAGE01_CNT,MANAGE02_CNT,MANAGE03_CNT,MANAGE04_CNT
202406,1,11,서울특별시,D,1603,0,0,9,148,405,1041
202406,1,26,부산광역시,G,86067,704,479,3069,12753,11944,58301
202406,1,26,부산광역시,Q,6862,22,12,121,492,520,5729
202406,1,27,대구광역시,G,66215,510,318,2140,8897,8638,46540
202406,1,27,대구광역시,H,11468,62,15,109,865,1261,9233
202406,1,27,대구광역시,T,45,1,1,1,2,5,37
202406,1,28,인천광역시,P,10143,85,98,698,2670,1568,5207
202406,1,28,인천광역시,S,22374,180,261,1626,5042,3691,12015
202406,1,29,광주광역시,C,8307,35,11,84,665,957,6601
202406,1,29,광주광역시,J,1333,17,21,99,261,210,763
202406,1,29,광주광역시,T,31,1,0,0,4,8,19
202406,1,30,대전광역시,C,7977,30,14,75,571,876,6455
202406,1,30,대전광역시,L,12645,45,22,114,899,2621,9011
202406,1,30,대전광역시,O,264,0,2,5,13,13,233
202406,1,30,대전광역시,Q,3761,9,14,67,232,305,3157
202406,1,30,대전광역시,S,13453,99,125,797,2645,2003,8008
202406,1,31,울산광역시,C,6725,38,11,107,665,707,5246
202406,1,31,울산광역시,I,18661,307,249,1474,5418,3060,8709
202406,1,31,울산광역시,L,8232,19,10,69,590,1334,6239
202406,1,31,울산광역시,N,1920,11,8,62,211,205,1442
202406,1,31,울산광역시,Q,2172,7,2,25,127,165,1855
202406,1,36,세종특별자치시,H,775,6,2,13,81,134,547
202406,1,36,세종특별자치시,N,431,6,0,13,61,89,268
202406,1,41,경기도,D,3302,7,5,56,577,1256,1413
202406,1,41,경기도,H,49261,320,101,558,5847,7369,35487
202406,1,43,충청북도,G,38543,334,293,1625,6448,5390,25080
202406,1,43,충청북도,H,7168,36,11,104,689,1055,5320
202406,1,43,충청북도,L,9524,35,18,98,863,1696,6867
202406,1,43,충청북도,M,3835,14,17,127,536,569,2603
202406,1,43,충청북도,U,0,0,0,0,0,0,0
202406,1,44,충청남도,G,51482,379,337,2168,8988,7272,33054
202406,1,44,충청남도,O,460,0,0,0,24,18,418
202406,1,46,전라남도,A,6206,22,4,38,431,972,4765
202406,1,46,전라남도,H,9442,70,10,115,826,1246,7255
202406,1,47,경상북도,K,889,4,4,19,53,73,744
202406,1,47,경상북도,R,5630,55,43,313,1427,887,3003
202406,1,48,경상남도,D,1998,3,6,44,361,855,738
202406,1,48,경상남도,E,745,3,1,7,66,91,581
202406,1,48,경상남도,G,75022,602,430,3004,12231,10487,49300
202406,1,48,경상남도,R,6519,59,71,437,1710,1131,3241
202406,1,48,경상남도,U,2,0,0,0,0,0,2
202406,1,50,제주특별자치도,L,6711,19,12,47,406,1192,5066
202406,1,50,제주특별자치도,U,1,0,0,0,0,0,1
202406,1,51,강원특별자치도,H,5528,29,10,53,436,752,4287
202406,1,51,강원특별자치도,O,415,0,0,1,12,18,384
202406,1,52,전북특별자치도,F,11941,40,10,80,971,1515,9375
202406,1,52,전북특별자치도,R,3982,46,41,277,1044,715,1946
202406,1,52,전북특별자치도,T,20,0,0,0,1,4,15
202406,1,11,서울특별시,B,155,1,0,0,7,12,136
202406,1,11,서울특별시,S,72966,486,657,4005,13776,10687,44498
202406,1,26,부산광역시,R,6536,71,74,460,1755,1147,3174
202406,1,27,대구광역시,K,1065,4,4,18,83,113,851
202406,1,27,대구광역시,N,3773,20,12,75,329,444,2925
202406,1,28,인천광역시,D,319,3,0,2,27,101,189
202406,1,28,인천광역시,K,897,2,2,22,75,86,714
202406,1,28,인천광역시,O,177,0,3,8,21,6,142
202406,1,28,인천광역시,T,164,1,0,1,3,27,133
202406,1,29,광주광역시,P,6795,44,57,373,1314,1040,4068
202406,1,29,광주광역시,S,13783,90,118,891,2713,2242,7937
202406,1,30,대전광역시,H,6247,49,10,86,631,864,4666
202406,1,36,세종특별자치시,I,4446,101,72,422,1514,803,1707
202406,1,36,세종특별자치시,J,394,2,10,42,92,87,173
202406,1,36,세종특별자치시,Q,567,2,2,11,64,75,417
202406,1,41,경기도,J,22307,218,268,1415,4297,5004,11591
202406,1,41,경기도,M,42084,214,228,1456,6250,8024,26354
202406,1,41,경기도,P,54594,430,518,3849,14512,9255,26978
202406,1,41,경기도,T,562,4,1,6,20,92,444
202406,1,41,경기도,U,12,0,0,0,0,1,11
202406,1,43,충청북도,J,1235,30,27,180,397,132,526
202406,1,43,충청북도,T,20,0,0,0,1,0,19
202406,1,44,충청남도,C,15986,90,27,166,1339,1909,12572
202406,1,44,충청남도,Q,4211,14,13,68,239,305,3599
202406,1,44,충청남도,T,28,0,0,0,5,0,23
202406,1,46,전라남도,C,9840,42,15,110,858,1182,7690
202406,1,46,전라남도,G,45552,285,246,1731,7530,6349,29942
202406,1,46,전라남도,S,15000,67,104,803,2736,2128,9333
202406,1,47,경상북도,G,64297,443,357,2440,10579,8807,42471
202406,1,47,경상북도,P,9244,44,57,425,1602,1352,5865
202406,1,48,경상남도,C,33473,188,56,376,2868,3319,26910
202406,1,48,경상남도,F,15705,73,21,130,1388,2056,12131
202406,1,48,경상남도,H,12853,82,14,146,1264,1732,9711
202406,1,50,제주특별자치도,I,22035,281,270,1686,5838,3867,10644
202406,1,50,제주특별자치도,M,2540,15,23,119,400,445,1576
202406,1,50,제주특별자치도,N,2214,9,8,69,288,283,1574
202406,1,51,강원특별자치도,J,1328,16,35,182,401,180,565
202406,1,51,강원특별자치도,M,4029,20,32,193,625,508,2703
202406,1,52,전북특별자치도,B,77,1,0,0,4,8,65
202406,1,52,전북특별자치도,M,4560,17,21,140,620,605,3195
202406,1,11,서울특별시,A,706,11,2,17,97,111,481
202406,1,26,부산광역시,C,27339,126,38,257,1845,2289,22948
202406,1,26,부산광역시,M,10863,44,51,342,1500,1629,7392
202406,1,27,대구광역시,I,39287,591,421,2817,10114,6215,20141
202406,1,27,대구광역시,M,7217,38,33,210,775,966,5266
202406,1,28,인천광역시,B,49,0,0,1,3,4,41
202406,1,28,인천광역시,H,14265,106,24,142,1180,1760,11183
202406,1,28,인천광역시,I,38152,731,590,3586,11940,6353,16273
202406,1,29,광주광역시,D,2529,5,3,30,311,726,1462
