STD_YM,BLCK_SP_CD,CTPV_CD,CTPV_NM,CAT01_CD,OPN_CNT,CLSD_CNT,NEW_CNT,MANAGE01_CNT,MANAGE02_CNT,MANAGE03_CNT,MANAGE04_CNT
202407,1,11,서울특별시,D,1594,5,0,7,149,379,1059
202407,1,11,서울특별시,P,39292,297,345,2063,8702,6219,22308
202407,1,11,서울특별시,T,564,2,0,7,21,79,457
202407,1,26,부산광역시,C,27300,79,39,258,1823,2230,22989
202407,1,27,대구광역시,D,875,1,4,23,160,237,455
202407,1,27,대구광역시,E,361,1,1,4,29,39,289
202407,1,27,대구광역시,L,21838,55,17,153,1278,3360,17047
202407,1,27,대구광역시,M,7226,17,25,198,790,947,5291
202407,1,27,대구광역시,O,261,1,0,0,8,12,241
202407,1,28,인천광역시,M,7569,32,40,283,1095,1254,4937
202407,1,29,광주광역시,H,6734,46,18,94,661,937,5042
202407,1,29,광주광역시,N,2516,14,11,56,286,292,1882
202407,1,29,광주광역시,Q,3553,11,8,57,264,248,2984
202407,1,30,대전광역시,A,196,0,0,7,33,29,127
202407,1,30,대전광역시,G,37126,265,246,1378,5958,5220,24570
202407,1,30,대전광역시,P,5883,53,48,290,1247,936,3410
202407,1,30,대전광역시,U,0,0,0,0,0,0,0
202407,1,31,울산광역시,C,6726,13,8,94,685,676,5271
202407,1,31,울산광역시,F,4733,13,7,51,456,509,3717
202407,1,31,울산광역시,H,4544,17,3,44,395,582,3523
202407,1,31,울산광역시,N,1905,10,9,49,211,206,1439
202407,1,36,세종특별자치시,O,73,0,0,1,14,11,47
202407,1,36,세종특별자치시,R,724,6,6,76,239,158,251
202407,1,41,경기도,B,287,1,0,0,25,34,228
202407,1,41,경기도,C,127364,366,162,1106,8712,13036,104510
202407,1,41,경기도,E,2394,4,1,22,178,320,1874
202407,1,41,경기도,O,1213,2,2,8,43,79,1083
202407,1,43,충청북도,N,2974,16,13,64,355,375,2180
202407,1,43,충청북도,S,13943,73,115,690,2604,1964,8685
202407,1,44,충청남도,B,99,1,1,2,2,10,85
202407,1,44,충청남도,E,455,0,0,2,33,56,364
202407,1,44,충청남도,F,13981,41,11,89,1260,1722,10910
202407,1,44,충청남도,I,38406,490,509,3132,10836,5834,18604
202407,1,44,충청남도,J,1650,13,44,253,492,228,677
202407,1,46,전라남도,P,5448,25,18,247,946,737,3518
202407,1,47,경상북도,F,16480,47,10,114,1199,1939,13228
202407,1,47,경상북도,L,12018,32,26,161,913,1758,9186
202407,1,48,경상남도,I,61202,770,766,4636,16746,9344,30476
202407,1,48,경상남도,T,38,0,0,1,5,4,28
202407,1,50,제주특별자치도,B,17,0,0,0,1,0,16
202407,1,50,제주특별자치도,I,21981,236,233,1612,5828,3803,10738
202407,1,50,제주특별자치도,M,2537,10,18,115,398,431,1593
202407,1,50,제주특별자치도,N,2192,8,12,48,286,277,1581
202407,1,50,제주특별자치도,U,1,0,0,0,0,0,1
202407,1,51,강원특별자치도,B,144,1,0,2,5,7,130
202407,1,51,강원특별자치도,K,599,2,1,11,35,48,505
202407,1,51,강원특별자치도,Q,3300,10,7,36,157,254,2853
202407,1,51,강원특별자치도,U,0,0,0,0,0,0,0
202407,1,52,전북특별자치도,G,45949,305,291,1911,7760,6066,30212
202407,1,52,전북특별자치도,M,4549,13,25,128,626,586,3209
202407,1,52,전북특별자치도,N,2983,13,18,69,329,352,2233
202407,1,52,전북특별자치도,Q,4531,11,4,46,215,304,3966
202407,1,11,서울특별시,H,34836,170,51,352,2854,3864,27766
202407,1,11,서울특별시,J,42795,209,244,1454,4909,6266,30166
202407,1,26,부산광역시,H,29218,169,88,626,3524,2850,22218
202407,1,26,부산광역시,U,6,0,0,0,2,0,4
202407,1,27,대구광역시,N,3756,12,13,59,318,431,2948
202407,1,27,대구광역시,P,11123,70,76,581,2431,1897,6214
202407,1,28,인천광역시,A,637,3,3,14,62,93,468
202407,1,28,인천광역시,F,11483,48,16,116,1341,1799,8227
202407,1,28,인천광역시,I,38010,571,553,3448,11975,6183,16404
202407,1,29,광주광역시,I,21227,343,303,1931,6850,3350,9096
202407,1,29,광주광역시,P,6825,34,57,360,1346,1025,4094
202407,1,30,대전광역시,E,156,0,0,1,12,20,123
202407,1,31,울산광역시,D,183,1,1,4,24,58,97
202407,1,31,울산광역시,E,179,0,0,4,21,18,136
202407,1,31,울산광역시,J,781,9,26,114,219,83,365
202407,1,31,울산광역시,P,4869,31,27,249,1057,775,2788
202407,1,31,울산광역시,U,0,0,0,0,0,0,0
202407,1,36,세종특별자치시,A,153,1,0,4,19,31,99
202407,1,36,세종특별자치시,D,224,0,0,0,29,95,100
202407,1,36,세종특별자치시,L,5913,8,6,25,279,1018,4591
202407,1,36,세종특별자치시,N,423,1,3,10,57,89,267
202407,1,36,세종특별자치시,S,2476,14,24,168,660,463,1185
202407,1,36,세종특별자치시,T,3,0,0,0,0,2,1
202407,1,41,경기도,F,53109,172,69,476,7214,8809,36610
202407,1,41,경기도,H,49157,234,100,588,5714,7138,35717
202407,1,43,충청북도,E,408,0,1,5,21,48,334
202407,1,43,충청북도,P,5422,40,45,260,1094,898,3170
202407,1,43,충청북도,R,4034,36,40,296,1187,694,1857
202407,1,44,충청남도,A,3659,11,14,55,323,612,2669
