STD_YM,BLCK_SP_CD,CTPV_CD,CTPV_NM,CAT01_CD,OPN_CNT,CLSD_CNT,NEW_CNT,MANAGE01_CNT,MANAGE02_CNT,MANAGE03_CNT,MANAGE04_CNT
202301,1,11,서울특별시,F,37866,82,41,778,7208,5092,24788
202301,1,11,서울특별시,L,157257,354,86,1203,19882,32183,103989
202301,1,11,서울특별시,T,873,1,1,4,129,138,602
202301,1,26,부산광역시,F,12521,37,12,149,1887,1871,8614
202301,1,26,부산광역시,J,3202,11,50,288,690,561,1663
202301,1,26,부산광역시,L,31298,84,19,273,5321,6468,19236
202301,1,26,부산광역시,Q,7083,19,25,134,593,859,5497
202301,1,27,대구광역시,T,65,0,0,0,12,8,45
202301,1,28,인천광역시,B,63,0,0,0,8,5,50
202301,1,28,인천광역시,C,25478,68,27,192,2323,3307,19656
202301,1,29,광주광역시,D,2102,4,0,28,478,622,974
202301,1,30,대전광역시,D,621,1,0,7,127,264,223
202301,1,30,대전광역시,E,162,0,0,2,16,24,120
202301,1,30,대전광역시,M,5232,15,34,195,873,960,3204
202301,1,31,울산광역시,I,19173,233,227,1631,5741,3544,8257
202301,1,36,세종특별자치시,H,791,2,1,11,139,175,466
202301,1,36,세종특별자치시,R,653,4,6,61,245,140,207
202301,1,41,경기도,R,27849,288,381,2439,8238,6058,11114
202301,1,41,경기도,T,951,3,0,8,170,153,620
202301,1,41,경기도,U,13,0,0,0,1,3,9
202301,1,42,강원도,C,6213,15,8,61,700,878,4574
202301,1,43,충청북도,D,1888,0,0,21,950,553,364
202301,1,43,충청북도,H,7284,25,10,104,1106,1293,4781
202301,1,43,충청북도,J,1157,7,29,218,304,165,470
202301,1,43,충청북도,L,8918,21,12,154,1530,1847,5387
202301,1,44,충청남도,D,2779,3,0,47,1326,819,587
202301,1,44,충청남도,R,4331,48,51,323,1225,905,1878
202301,1,46,전라남도,F,12659,23,2,172,1792,1727,8968
202301,1,46,전라남도,G,46210,264,286,1844,8450,6951,28965
202301,1,46,전라남도,P,5428,19,45,221,944,1152,3111
202301,1,48,경상남도,I,62120,667,691,4957,17219,11406,28538
202301,1,48,경상남도,K,1164,3,6,23,129,97,915
202301,1,48,경상남도,N,5800,20,24,113,764,990,3933
202301,1,48,경상남도,T,51,0,0,0,10,7,34
202301,1,50,제주특별자치도,G,20941,105,141,881,4259,3582,12219
202301,1,50,제주특별자치도,R,2001,14,15,121,576,441,863
202301,1,11,서울특별시,B,160,1,1,1,16,18,125
202301,1,11,서울특별시,P,38786,241,390,2190,8474,8511,19611
202301,1,11,서울특별시,S,73110,344,512,3172,14173,13566,42199
202301,1,26,부산광역시,D,319,2,1,6,78,88,147
202301,1,26,부산광역시,H,29453,84,81,751,3402,3469,21831
202301,1,26,부산광역시,P,12747,83,159,738,2768,2832,6409
202301,1,27,대구광역시,C,27864,63,35,224,2331,2869,22440
202301,1,27,대구광역시,D,664,1,2,7,181,204,272
202301,1,27,대구광역시,U,1,0,0,0,0,0,1
202301,1,28,인천광역시,O,180,0,0,3,12,46,119
202301,1,29,광주광역시,G,37822,237,213,1481,6913,6041,23387
202301,1,29,광주광역시,H,7100,38,12,140,1151,1186,4623
202301,1,29,광주광역시,J,1367,6,28,115,291,241,720
202301,1,29,광주광역시,P,6712,46,78,363,1311,1274,3764
202301,1,30,대전광역시,G,38287,231,208,1357,7002,6102,23826
202301,1,31,울산광역시,K,433,0,2,6,36,35,356
202301,1,31,울산광역시,M,3021,21,21,129,457,506,1929
202301,1,31,울산광역시,N,1956,7,8,40,253,344,1319
202301,1,31,울산광역시,Q,2287,1,3,21,161,284,1821
202301,1,36,세종특별자치시,A,135,0,0,2,34,18,81
202301,1,36,세종특별자치시,B,8,0,0,0,3,1,4
202301,1,36,세종특별자치시,M,925,6,9,61,232,227,405
202301,1,41,경기도,G,301853,1844,1704,12348,64972,52243,172290
202301,1,41,경기도,O,1275,0,0,7,73,190,1005
202301,1,42,강원도,G,40524,249,271,1635,7482,6205,25202
202301,1,42,강원도,Q,3479,6,7,36,243,726,2474
202301,1,43,충청북도,C,12587,20,14,129,1499,1773,9186
202301,1,43,충청북도,G,39433,239,220,1571,7321,6198,24343
202301,1,43,충청북도,I,29383,284,359,2469,8295,5552,13067
202301,1,43,충청북도,Q,3554,8,10,37,279,769,2469
202301,1,43,충청북도,U,0,0,0,0,0,0,0
202301,1,44,충청남도,H,9209,34,18,120,1453,1464,6172
202301,1,44,충청남도,J,1458,6,39,218,437,259,544
202301,1,44,충청남도,L,12389,31,10,133,2091,2785,7380
202301,1,44,충청남도,P,6598,36,83,378,1400,1400,3420
202301,1,44,충청남도,U,0,0,0,0,0,0,0
202301,1,45,전라북도,C,10230,23,8,117,1233,1447,7433
202301,1,45,전라북도,F,11909,29,8,118,1668,1687,8436
202301,1,45,전라북도,H,8329,27,15,127,1213,1386,5603
202301,1,46,전라남도,A,6137,27,4,72,1026,1168,3871
202301,1,46,전라남도,K,662,2,3,19,58,48,537
202301,1,46,전라남도,O,685,0,0,5,50,70,560
202301,1,46,전라남도,Q,4200,8,7,38,308,986,2868
202301,1,46,전라남도,T,27,0,0,0,1,6,20
202301,1,47,경상북도,I,54695,483,565,3807,14034,9919,26935
202301,1,47,경상북도,O,651,1,0,2,35,132,482
202301,1,48,경상남도,S,29503,143,238,1369,5981,4985,17168
202301,1,50,제주특별자치도,O,129,0,0,0,3,10,116
202301,1,50,제주특별자치도,T,13,0,0,0,0,3,10
202301,1,11,서울특별시,J,43642,107,191,1329,7277,7908,27128
202301,1,11,서울특별시,M,69712,161,219,1608,11379,13220,43505
202301,1,11,서울특별시,U,74,0,0,0,9,18,47
202301,1,26,부산광역시,A,605,5,0,4,78,114,409
202301,1,26,부산광역시,R,6339,51,63,402,1665,1364,2908
202301,1,27,대구광역시,F,11007,22,6,106,1645,1633,7623
202301,1,27,대구광역시,J,2372,9,28,195,499,408,1270
202301,1,28,인천광역시,D,320,1,2,3,64,123,130
202301,1,28,인천광역시,E,561,0,0,4,66,108,383
202301,1,28,인천광역시,P,9551,74,151,725,2175,2208,4443
202301,1,28,인천광역시,R,6471,64,115,571,1920,1434,2546
202301,1,28,인천광역시,S,21887,131,193,1269,5121,4189,11308
202301,1,29,광주광역시,B,33,0,0,0,3,14,16
202301,1,29,광주광역시,I,21591,285,306,2120,6812,4203,8456
202301,1,29,광주광역시,L,11249,25,6,142,2066,2778,6263
202301,1,29,광주광역시,T,53,0,1,2,8,9,34
202301,1,29,광주광역시,U,2,0,0,0,0,1,1
202301,1,30,대전광역시,J,2323,10,26,197,501,418,1207
202301,1,30,대전광역시,L,12156,25,4,113,1971,2803,7269
202301,1,30,대전광역시,T,44,0,0,0,6,7,31
202301,1,31,울산광역시,C,7033,26,22,119,889,1013,5012
202301,1,31,울산광역시,D,174,0,0,1,55,49,69
202301,1,31,울산광역시,H,4740,19,3,66,704,773,3197
202301,1,31,울산광역시,J,752,3,19,126,185,118,323
202301,1,31,울산광역시,L,7683,14,8,78,1132,1403,5070
202301,1,31,울산광역시,S,9450,62,90,506,1939,1686,5319
202301,1,36,세종특별자치시,E,50,0,0,0,4,12,34
202301,1,36,세종특별자치시,I,4340,49,62,471,1490,968,1411
202301,1,41,경기도,B,370,2,0,5,41,59,265
202301,1,41,경기도,E,2470,5,4,29,285,380,1776
202301,1,41,경기도,I,165330,1849,2149,15512,51108,31868,66842
202301,1,41,경기도,N,23033,81,73,460,3620,4649,14304
202301,1,42,강원도,F,12155,32,10,120,1803,1551,8681
202301,1,42,강원도,U,1,0,0,0,0,0,1
202301,1,43,충청북도,M,4063,16,19,148,707,683,2525
202301,1,43,충청북도,N,3076,13,11,72,453,584,1967
202301,1,43,충청북도,O,428,1,0,1,27,30,370
202301,1,43,충청북도,P,5319,22,52,289,1077,1141,2812
202301,1,44,충청남도,N,4484,17,16,89,653,882,2860
202301,1,44,충청남도,O,495,0,0,6,29,83,377
202301,1,44,충청남도,T,48,0,0,0,8,5,35
202301,1,45,전라북도,D,5705,11,0,46,1706,1427,2526
202301,1,45,전라북도,P,7079,51,73,346,1219,1467,4047
202301,1,46,전라남도,C,9793,10,12,148,1290,1441,6914
202301,1,46,전라남도,E,449,0,0,7,56,77,309
202301,1,47,경상북도,R,5643,47,57,345,1350,1238,2710
202301,1,48,경상남도,D,1687,0,1,20,728,486,453
202301,1,48,경상남도,F,15334,33,10,179,2243,2193,10719
202301,1,50,제주특별자치도,H,3331,9,4,58,468,556,2249
202301,1,50,제주특별자치도,M,2600,9,16,110,518,521,1451
202301,1,50,제주특별자치도,N,2202,7,11,50,284,399,1469
202301,1,11,서울특별시,E,662,1,1,3,71,74,514
202301,1,11,서울특별시,H,36723,129,51,522,4583,5302,26316
202301,1,26,부산광역시,C,28522,69,39,266,2606,3192,22458
202301,1,26,부산광역시,O,458,0,0,3,15,102,338
202301,1,26,부산광역시,T,75,1,1,2,8,16,49
202301,1,27,대구광역시,A,275,1,2,4,58,72,141
202301,1,27,대구광역시,M,7787,33,20,207,1192,1350,5038
202301,1,27,대구광역시,N,3965,16,13,57,446,721,2741
202301,1,28,인천광역시,A,652,2,2,11,130,127,384
202301,1,28,인천광역시,G,65161,419,339,2554,13538,11278,37791
202301,1,28,인천광역시,Q,5781,24,14,118,517,958,4188
202301,1,29,광주광역시,O,235,1,0,0,8,34,193
202301,1,30,대전광역시,B,12,0,0,0,4,2,6
202301,1,30,대전광역시,C,8238,15,14,81,867,1140,6150
202301,1,30,대전광역시,I,22252,252,266,1900,6355,4326,9671
202301,1,30,대전광역시,K,669,2,0,13,66,70,520
202301,1,30,대전광역시,S,13344,61,81,618,2645,2333,7748
202301,1,31,울산광역시,A,323,1,0,3,54,66,200
202301,1,31,울산광역시,B,27,0,1,1,2,3,21
202301,1,31,울산광역시,T,16,0,0,0,0,0,16
202301,1,31,울산광역시,U,0,0,0,0,0,0,0
202301,1,36,세종특별자치시,F,1221,6,2,15,179,215,812
202301,1,36,세종특별자치시,G,5187,46,33,303,1464,1127,2293
202301,1,36,세종특별자치시,P,2060,23,55,198,636,603,623
202301,1,36,세종특별자치시,Q,571,3,2,13,72,111,375
202301,1,41,경기도,F,51777,146,56,859,9946,9108,31864
202301,1,41,경기도,H,50514,187,127,899,8213,9243,32159
202301,1,41,경기도,L,163730,363,105,1515,28076,42710,91429
202301,1,41,경기도,M,44665,155,192,1571,9385,9108,24601
202301,1,41,경기도,P,52550,341,766,3879,13011,12614,23046
202301,1,42,강원도,M,4258,16,34,214,674,644,2726
202301,1,42,강원도,P,5361,41,52,247,969,1224,2921
202301,1,42,강원도,R,3851,39,49,249,941,792,1869
202301,1,43,충청북도,A,1175,1,0,20,195,232,728
202301,1,43,충청북도,E,432,1,0,5,48,59,320
202301,1,43,충청북도,K,599,1,5,13,49,61,476
202301,1,44,충청남도,A,3487,6,3,51,623,665,2148
202301,1,44,충청남도,M,5131,17,29,225,917,819,3170
