STD_YM,BLCK_SP_CD,CTPV_CD,CTPV_NM,CAT01_CD,OPN_CNT,CLSD_CNT,NEW_CNT,MANAGE01_CNT,MANAGE02_CNT,MANAGE03_CNT,MANAGE04_CNT
202212,1,11,서울특별시,S,73279,533,560,3357,14280,13660,41982
202212,1,26,부산광역시,C,28589,159,41,305,2693,3252,22339
202212,1,26,부산광역시,T,75,0,1,1,9,16,49
202212,1,27,대구광역시,E,396,2,0,6,49,52,289
202212,1,27,대구광역시,H,11925,67,19,144,1447,1609,8725
202212,1,27,대구광역시,L,21517,95,28,198,3163,4133,14023
202212,1,27,대구광역시,S,20345,136,164,917,4210,3591,11627
202212,1,28,인천광역시,C,25566,122,32,218,2437,3354,19557
202212,1,28,인천광역시,G,65332,710,367,2709,13717,11306,37600
202212,1,28,인천광역시,H,15337,94,26,240,2070,2715,10312
202212,1,28,인천광역시,O,181,0,0,3,13,45,120
202212,1,29,광주광역시,B,33,0,0,0,6,11,16
202212,1,29,광주광역시,E,188,0,1,3,19,26,140
202212,1,29,광주광역시,G,37938,363,241,1539,7006,6099,23294
202212,1,30,대전광역시,D,617,2,0,9,130,258,220
202212,1,30,대전광역시,P,5715,59,44,262,1262,1226,2965
202212,1,30,대전광역시,R,3590,46,55,302,923,775,1590
202212,1,31,울산광역시,B,26,0,0,0,2,3,21
202212,1,31,울산광역시,O,188,0,2,2,17,17,152
202212,1,36,세종특별자치시,Q,565,2,2,11,76,109,369
202212,1,41,경기도,H,50601,292,108,982,8406,9283,31930
202212,1,42,강원도,B,164,0,0,2,9,18,135
202212,1,42,강원도,R,3885,54,42,261,961,797,1866
202212,1,43,충청북도,K,599,1,2,12,52,61,474
202212,1,43,충청북도,N,3101,18,21,84,472,602,1943
202212,1,43,충청북도,P,5266,43,47,267,1097,1114,2788
202212,1,44,충청남도,D,2781,6,5,58,1385,777,561
202212,1,44,충청남도,N,4508,27,12,113,666,890,2839
202212,1,46,전라남도,E,451,2,1,9,58,74,310
202212,1,46,전라남도,K,658,2,3,21,57,48,532
202212,1,46,전라남도,O,685,0,1,6,49,72,558
202212,1,47,경상북도,C,25683,114,38,350,3015,3337,18981
202212,1,47,경상북도,R,5692,79,69,400,1363,1235,2694
202212,1,48,경상남도,G,77526,736,481,3149,14660,12017,47700
